task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
66	6f/ad7dd5	626723	sketch (Sketch on SRS047708)	COMPLETED	0	2024-09-18 04:52:29.705	4.6s	4.4s	57.4%	62.7 MB	11.9 GB	21.5 MB	7.2 MB
32	95/06ceb8	626898	sketch (Sketch on SRS022545)	COMPLETED	0	2024-09-18 04:52:29.762	5.2s	5.1s	116.8%	160.4 MB	11.9 GB	122.3 MB	23.8 MB
20	ac/2d9e2d	627681	sketch (Sketch on SRS065142)	COMPLETED	0	2024-09-18 04:52:29.846	5.9s	5.3s	106.8%	190.6 MB	11.9 GB	153 MB	25.5 MB
19	4e/7afc70	626956	sketch (Sketch on SRS065179)	COMPLETED	0	2024-09-18 04:52:29.773	6.2s	5.8s	99.2%	185.7 MB	11.9 GB	143.7 MB	24.4 MB
13	dd/dbde24	629113	sketch (Sketch on SRS019215)	COMPLETED	0	2024-09-18 04:52:29.971	6.4s	5.7s	88.5%	149.2 MB	11.9 GB	109.1 MB	19.6 MB
50	4c/b5b944	628901	sketch (Sketch on SRS063417)	COMPLETED	0	2024-09-18 04:52:29.953	6.5s	6.3s	94.2%	213.2 MB	11.9 GB	175.3 MB	29.9 MB
56	18/0ec25b	628623	sketch (Sketch on SRS044742)	COMPLETED	0	2024-09-18 04:52:29.931	6.6s	6s	134.0%	283.9 MB	11.9 GB	244.5 MB	39.5 MB
25	9a/a39633	628788	sketch (Sketch on SRS011584)	COMPLETED	0	2024-09-18 04:52:29.942	6.6s	6.4s	123.4%	312 MB	11.9 GB	272.8 MB	43.9 MB
54	e7/a5cb80	626914	sketch (Sketch on SRS015071)	COMPLETED	0	2024-09-18 04:52:29.766	6.8s	6.6s	151.3%	356.6 MB	11.9 GB	316.8 MB	50.3 MB
59	63/255556	628437	sketch (Sketch on SRS063178)	COMPLETED	0	2024-09-18 04:52:29.912	6.8s	6.6s	87.9%	197 MB	11.9 GB	158.8 MB	26.9 MB
37	89/a57905	627528	sketch (Sketch on SRS024641)	COMPLETED	0	2024-09-18 04:52:29.831	7s	6.8s	148.1%	415.5 MB	11.9 GB	376 MB	56.5 MB
36	3e/ad1681	628303	sketch (Sketch on SRS052756)	COMPLETED	0	2024-09-18 04:52:29.898	7.5s	7.4s	127.4%	400.3 MB	11.9 GB	361.2 MB	56.7 MB
65	ef/fae685	629514	sketch (Sketch on SRS065133)	COMPLETED	0	2024-09-18 04:52:30.009	7.7s	7.5s	194.6%	337 MB	11.9 GB	296.7 MB	51.2 MB
17	4e/33b798	627058	sketch (Sketch on SRS065431)	COMPLETED	0	2024-09-18 04:52:29.789	8.4s	8s	183.3%	374 MB	11.9 GB	333.5 MB	57.9 MB
49	48/c86146	626980	sketch (Sketch on SRS014465)	COMPLETED	0	2024-09-18 04:52:29.777	8.7s	8.3s	187.0%	599.5 MB	11.9 GB	559 MB	87.2 MB
28	71/2d3942	626747	sketch (Sketch on SRS014466)	COMPLETED	0	2024-09-18 04:52:29.725	9.1s	8.6s	145.2%	514.8 MB	11.9 GB	474.6 MB	75.7 MB
52	66/b42ce4	627323	sketch (Sketch on SRS023534)	COMPLETED	0	2024-09-18 04:52:29.813	9.2s	8.9s	202.7%	542.3 MB	11.9 GB	502 MB	80 MB
61	48/19e9b2	627443	sketch (Sketch on SRS015072)	COMPLETED	0	2024-09-18 04:52:29.824	10.6s	9.9s	183.9%	923.3 MB	11.9 GB	670.4 MB	101.7 MB
62	79/1533e2	628734	sketch (Sketch on SRS015059)	COMPLETED	0	2024-09-18 04:52:29.937	11.3s	11s	233.4%	903.7 MB	11.9 GB	653.2 MB	94.3 MB
40	a0/94fbea	629705	sketch (Sketch on SRS014475)	COMPLETED	0	2024-09-18 04:52:30.024	12.3s	11.9s	245.1%	959.6 MB	11.9 GB	894.6 MB	134.9 MB
29	97/636704	629432	sketch (Sketch on SRS015062)	COMPLETED	0	2024-09-18 04:52:30.001	12.9s	12.8s	283.3%	1.1 GB	11.9 GB	1.1 GB	168.3 MB
58	47/10d6d5	627274	sketch (Sketch on SRS024620)	COMPLETED	0	2024-09-18 04:52:29.809	13.7s	13.6s	305.5%	1.5 GB	12 GB	1.8 GB	271.7 MB
68	bd/98a3b5	627846	sketch (Sketch on SRS019033)	COMPLETED	0	2024-09-18 04:52:29.863	14.3s	14.2s	302.0%	1.6 GB	12 GB	1.8 GB	276.9 MB
8	0e/88da6d	626736	sketch (Sketch on SRS064219)	COMPLETED	0	2024-09-18 04:52:29.719	14.4s	14.1s	319.7%	1.8 GB	12 GB	2 GB	332.2 MB
33	0a/cf8e49	628366	sketch (Sketch on SRS014468)	COMPLETED	0	2024-09-18 04:52:29.906	15.2s	15s	376.1%	1.3 GB	11.9 GB	1.5 GB	227.6 MB
